from_node,to_node
node505593809,span5592931
node518200199,span6371035
node507865671,span5821039
node129294914,span6546423
fuse_switch10898,internal_conductor152058
node503386172,span5480065
node503414498,span5481016
node505007189,span5583022
node505593939,span5592957
node503587006,span5649030
node25026752,cable4184089
node523278225,span6620636
node505636194,span5601224
node504767156,span5538117
node505827116,span5637116
node503414492,span5639712
node520728149,span6546412
node505604969,span5595135
substation_site217987,cable4459791
node505593934,span5592956
node505604954,span5595132
node49186132,simulated49186132_49186138
node27245877,simulated27245877_213766
node25165170,simulated25165170_231934
node505040355,span5589496
node49186138,internal_conductor152071
node507865706,span5821046
node520728164,span6546415
node504767116,span5538109
node505648956,span5603728
node518200184,span6371032
node505593794,span5592928
disconnecting_link166998,cable1267300
node518200189,span6371033
node505641714,span5602324
cable_switch29583,internal_conductor152067
node25168141,span5525772
node505593839,span5592937
node505040415,span5589508
node509383222,span6705515
node129294914,cable4459721
node504751791,span5535062
node24961487,simulated24961487_276086967
node49186051,internal_conductor152056
node507865666,span5821038
substation_site222574,span6729586
node276086939,span6877055
node25026752,span5486023
node505593854,span5592940
node518200179,span6371031
node507865676,span5821040
node523278220,span6620635
node505827141,span5637121
node505613400,span5937651
fuse_switch13112,internal_conductor152066
node507865646,span5821034
node505827106,span5637114
node507865731,span5821051
node503444732,span6371039
node49186065,internal_conductor152079
node507865721,span5821049
substation_site229144,simulated54247524_229144
node505046134,span6620634
node503668929,span5489694
node505840363,span5639713
node504751806,span5535065
node504756230,span5535954
node505593959,span5592961
node520728179,span6546418
node505636229,span5601231
cable_switch29923,internal_conductor152065
node505593909,span5592951
node25437017,simulated25437017_222746
node505040465,span5589518
load_break_switch_site9913,span5945527
node513786162,span6140742
hv_feeder13356,span6782253
substation_site224975,span6729584
node513786157,span6140741
node25437017,span5603153
node505604924,span5595126
node505827056,span5637104
node505040380,span5589501
node503414528,span5535066
node505040395,span5589504
node505593954,span5592960
node520728139,span6546410
node505046134,span5590624
substation_site217979,span5533008
node510060262,span5937652
node54247524,span5481650
node505040350,span5589495
node505611470,span5596332
node509383213,span5910094
node505636214,span5601228
node503444727,span5484408
node513786167,span6140743
node505636209,span5601227
node518200204,span6371036
node505604934,span5595128
node503414518,span5481020
node504796763,span5542915
node518200214,span6371038
node54247524,span5544373
node503474372,span5486022
node509383222,span6705518
transformer6522,internal_conductor152054
node504796758,span5542914
node27241240,simulated27241240_212347
node505604929,span5595127
node507865761,span5821057
node504767126,span5538111
substation_site289494,span6782369
node505593974,span5592964
node520728144,span6546411
node505040470,span5592965
node49185828,span5910096
node503587001,span5488780
node505604949,span5595131
node503586996,span5488779
node24961482,internal_conductor152076
air_break_switch87557,span5538107
node27276325,simulated27276325_223564
node504767141,span5538114
cable_switch30164,internal_conductor152063
node504164534,span5524512
node505040425,span5589510
link_switch9161,internal_conductor152077
substation_site215159,cable4459724
node505613400,span5596720
substation_site213766,cable4459636
node505641719,span6771519
node505613395,span5596719
node505604959,span5595133
node520728174,span6546417
node25168141,span6952775
node507865691,span5821043
node505827066,span5637106
node505040349,span5636797
node503418555,span5595124
node507865726,span5821050
node276125688,cable4459790
node504767146,span5538115
node513786172,span6140744
node24961462,internal_conductor152072
node505593869,span5592943
node504804143,span5544372
node503386173,span5475756
node503414508,span5481018
node507865751,span5821055
node505641719,span6371028
node505593814,span5592932
node503450398,span6782254
node505593964,span5592962
node505827131,span5637119
node505593884,span5592946
node507865686,span5821042
node524270606,span6705516
node504751786,span5535061
node505840368,span5639714
node505040410,span5589507
node505593914,span5592952
node503414528,span5524510
node505827041,span5637101
node520728184,span6546419
node505593944,span5592958
node505040455,span5589516
node49186171,internal_conductor152059
node505593899,span5592949
node54247073,span5602323
node505825529,span5636798
node505593829,span5592935
node505593929,span5592955
node507865766,span5821058
node520728159,span6546414
node507865661,span5821037
node24975615,span5538947
node503418586,span5481815
node505040405,span5589506
node504159885,span5523596
node505827101,span5637113
node505593844,span5592938
node520728134,span6546409
node513786147,span6140739
node503418561,span5481810
node504756225,span5535953
node504756235,span5535955
node505593804,span5592930
node49186036,internal_conductor152068
node505648951,span5603727
transformer45756,internal_conductor153850
node505827086,span5637110
node504771520,span5538944
node27245877,span6140737
substation_site226352,cable4459634
node504767121,span5538110
node507865651,span5821035
substation_site339874,span6782334
node504771530,span5538946
node507865656,span5821036
node505827076,span5637108
node505889316,span5649031
node505636199,span5601225
node54247360,span5542916
node503414493,span5481015
node503587006,span5488781
node25165170,span5535952
node505593904,span5592950
node507865701,span5821045
node503405090,span5523597
substation_site220783,cable4459635
node504771519,span6371027
node503409394,span6964405
node505593799,span5592929
